;;31.01.2021;;06.02.2021;;13.02.2021;;14.02.2021 - 20.02.2021;;21.02.2021;;22.02.2021 - 26.02.2021;;27.02.2021;;28.02.2021 - 05.03.2021;;06.03.2021;;07.03.2021 - 12.03.2021;;13.02.2021 - 12.03.2021;;Info;13.03.2021;13.03.2021;14.03.2021 - 20.03.2021;14.03.2021 - 20.03.2021;21.03.2021;21.03.2021;22.03.2021 - 27.03.2021;22.03.2021 - 27.03.2021;28.03.2021;28.03.2021;29.03.2021 - 03.04.2021;29.03.2021 - 03.04.2021;04.04.2021;04.04.2021;05.04.2021 - 10.04.2021;05.04.2021 - 10.04.2021;13.03.2021 - 10.04.2021;;Info;11.04.2021;11.04.2021;12.04.2021 - 16.04.2021;12.04.2021 - 16.04.2021;17.04.2021;17.04.2021;18.04.2021 - 24.04.2021;18.04.2021 - 24.04.2021;25.04.2021;25.04.2021;26.04.2021 - 01.05.2021;26.04.2021 - 01.05.2021;02.05.2021;02.05.2021;03.05.2021 - 08.05.2021;03.05.2021 - 08.05.2021;11.04.2021 - 08.05.2021;;Info;09.05.2021;09.05.2021;10.05.2021 - 15.05.2021;10.05.2021 - 15.05.2021;16.05.2021;16.05.2021;17.05.2021 - 22.05.2021;17.05.2021 - 22.05.2021;23.05.2021;23.05.2021;24.05.2021 - 29.05.2021;;30.05.2021;;31.05.2021 - 05.06.2021;;09.05.2021 - 05.06.2021;;Info;06.06.2021;;07.06.2021 - 12.06.2021;;13.06.2021;;14.06.2021 - 19.06.2021;;20.06.2021;;21.06.2021 - 26.06.2021;;27.06.2021;;28.06.2021 - 03.07.2021;;06.06.2021 - 03.07.2021;;Info;04.07.2021;;05.07.2021 - 10.07.2021;;11.07.2021;;12.07.2021 - 17.07.2021;;18.07.2021;;19.07.2021 - 23.07.2021;;24.07.2021;;25.07.2021 - 31.07.2021;;04.07.2021 - 31.07.2021;;Info;01.08.2021;;02.08.2021 - 07.08.2021;;08.08.2021;;09.08.2021 - 13.08.2021;;14.08.2021;;15.08.2021 - 20.08.2021;;21.08.2021;;22.08.2021 - 28.08.2021;;01.08.2021 - 28.08.2021;;Info;29.08.2021;;30.08.2021 - 04.09.2021;;05.09.2021;;06.09.2021 - 11.09.2021;;12.09.2021;;13.09.2021 - 17.09.2021;;18.09.2021;;19.09.2021 - 25.09.2021;;29.08.2021 - 25.09.2021;;Info;26.09.2021;;27.09.2021 - 02.10.2021;;03.10.2021;;04.10.2021 - 09.10.2021;;10.10.2021;;11.10.2021 - 15.10.2021;;16.10.2021;;17.10.2021 - 23.10.2021;;26.09.2021 - 23.10.2021;;Info;24.10.2021;;25.10.2021 - 29.10.2021;;30.10.2021;;31.10.2021 - 04.11.2021;;05.11.2021;;06.11.2021 - 13.11.2021;;14.11.2021;;15.11.2021 - 19.11.2021;;24.10.2021 - 19.11.2021;;Info;20.11.2021;;21.11.2021 - 27.11.2021;;28.11.2021;;29.11.2021 - 03.12.2021;;04.12.2021;;05.12.2021 - 11.12.2021;;12.12.2021;;13.12.2021 - 17.12.2021;;20.11.2021 - 17.12.2021;;Info;18.12.2021;;19.12.2021 - 25.12.2021;;26.12.2021;;27.12.2021 - 02.01.2022;;03.01.2022;;04.01.2022 - 08.01.2022;;09.01.2022;;10.01.2022 - 14.01.2022;;18.12.2021 - 14.01.2022;;Info;15.01.2022;;16.01.2022 - 22.01.2022;;23.01.2022;;24.01.2022 - 28.01.2022;;29.01.2022;;30.01.2022 - 04.02.2022;;05.02.2022;;06.02.2022 - 11.02.2022;;15.01.2022 - 11.02.2022;;Info;12.02.2022;;13.02.2022 - 18.02.2022;;19.02.2022;;20.02.2022 - 25.02.2022;;26.02.2022;;27.02.2022 - 06.03.2022;;07.03.2022;;08.03.2022 - 12.03.2022;;12.02.2022 - 12.03.2022;;Info;13.03.2022;;14.03.2022 - 19.03.2022;;20.03.2022;;21.03.2022 - 26.03.2022;;27.03.2022;;28.03.2022 - 01.04.2022;;02.04.2022;;03.04.2022 - 09.04.2022;;13.03.2022 - 09.04.2022;;Info;10.04.2022;;11.04.2022 - 16.04.2022;;17.04.2022;;18.04.2022 - 23.04.2022;;24.04.2022;;25.04.2022 - 01.05.2022;;02.05.2022;;03.05.2022 - 08.05.2022;;10.04.2022 - 08.05.2022;;Info;09.05.2022;;10.05.2022 - 14.05.2022;;15.05.2022;;16.05.2022 - 21.05.2022;;22.05.2022;;23.05.2022 - 27.05.2022;;28.05.2022;;29.05.2022 - 03.06.2022;;09.05.2022 - 03.06.2022;;Info;04.06.2022;;05.06.2022 - 12.06.2022;;13.06.2022;;14.06.2022 - 17.06.2022;;18.06.2022;;19.06.2022 - 25.06.2022;;26.06.2022;;27.06.2022 - 01.07.2022;;09.05.2022 - 03.06.2022;;Info;04.06.2021 - 01.07.2022;;Info
;Ряженка;;;;;;;36,00;0,500;;;34,17;0,500;;;36,00;0,500;;;36,00;0,500;142,17;2,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;36,00;0,500;;;43,49;0,400;79,49;0,900;;;;72,00;1,000;;;36,00;0,500;;;113,09;1,400;;;85,50;0,900;306,59;3,800;;;;;;;;41,00;0,500;;;41,00;0,500;;;41,00;0,500;123,00;1,500;;;;34,94;0,500;;;37,39;0,500;;;;;;;;;72,33;1,000;;;;41,00;0,500;;;;;;;41,00;0,500;41,00;0,500;43,49;0,400;166,49;1,900;;43,99;0,430;;;;;;;;;;;;;;;43,99;0,430;;;;;;;;;;;;;;;;41,00;0,500;41,00;0,500;;;;41,90;0,400;;;;;;;41,00;0,500;;;41,00;0,500;123,90;1,400;;;;41,00;0,500;;;44,00;0,500;;;;;;;;;85,00;1,000;;;;44,00;0,500;;;44,00;0,500;;;;;;;;;88,00;1,000;;48,99;0,430;44,00;0,500;;;;;44,00;0,500;;;;;;;136,99;1,430;;;;44,00;0,500;;;44,00;0,500;;;38,00;0,500;;;;;126,00;1,500;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;36,85;0,500;;;44,00;0,500;80,85;1,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;103,12;0,800;36,99;0,350;75,05;0,900;;;;;215,16;2,050;;1 830,96;21,410;
;Сгущенное молоко;;;;;;;;;;;79,90;0,280;;;;;;;;;79,90;0,280;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;109,99;0,280;109,99;0,280;;;;;;89,99;0,380;;;;;;;;;;;89,99;0,380;;;;;;;;;;110,99;0,380;;;;;;;110,99;0,380;;;;;;;;;;;;99,90;0,280;;;;;99,90;0,280;;;;113,99;0,380;;;;;;;;;;;175,80;0,760;289,79;1,140;;;;;;;;;;;;169,80;0,760;;;;;169,80;0,760;;;;;;129,99;0,380;;;;;;;;;;;129,99;0,380;;;;149,80;0,760;;;;;;;;;;;;;149,80;0,760;;89,99;0,380;;;;;79,99;0,380;;;179,80;0,760;;;;;349,78;1,520;;;;;;;;199,98;0,760;;;;;;;;;199,98;0,760;;;;;;;;;;;;;;;;94,90;0,380;94,90;0,380;;;;;;;;;;;;99,99;0,380;;;;;99,99;0,380;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;239,98;0,760;;;;;119,99;0,380;;;359,97;1,140;;;;;;;;;;;;;;;;;;0,00;0,000;;2 334,77;8,820;
;Снежок;;;;;;;;;;;;;;;39,99;0,430;;;;;39,99;0,430;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;25,99;0,250;;;;;;;;;;;46,99;0,450;;;72,98;0,700;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;28,90;0,250;;;;;;;;;;;;;28,90;0,250;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;30,90;0,250;;;;;;;;;30,90;0,250;;;;;;;;;;45,00;0,500;;;;;45,00;0,500;90,00;1,000;;;;13,95;0,500;;;45,00;0,500;;;;;;;;;58,95;1,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;321,72;3,630;
;Сливки;80,70;0,300;;;53,80;0,200;;;;;;;80,70;0,300;;;;;;;134,50;0,500;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;55,00;0,500;;;107,99;0,350;162,99;0,850;;;;;;;;;;;;;;119,60;0,400;42,00;0,195;161,60;0,595;;;;;;59,80;0,200;62,00;0,500;;;;;;;;;121,80;0,700;;;;52,84;0,500;;;;;;;;;;;;;52,84;0,500;;;;;;;;;;;;;;;;69,50;0,200;69,50;0,200;;;;;;;;58,98;0,400;;;;;;;;;58,98;0,400;;39,99;0,100;;;29,90;0,200;;;;;;;37,20;0,100;;;107,09;0,400;;;;42,00;0,195;35,90;0,100;;;;;42,00;0,195;;;62,00;0,500;181,90;0,990;;119,97;0,300;;;;;67,00;0,500;37,73;0,100;;;;;;;224,70;0,900;;84,00;0,300;;;;;;;23,77;0,200;;;58,88;0,300;67,00;0,500;233,65;1,300;;29,90;0,100;;;29,90;0,100;;;;;;;;;67,00;0,500;126,80;0,700;;;;74,99;0,270;;;;;44,99;0,100;57,86;0,500;44,99;0,100;;;222,83;0,970;;;;67,00;0,500;;;;;;;;;;;;;67,00;0,500;;;;;;;;;;38,50;0,100;;;52,99;0,100;;;91,49;0,200;;52,99;0,200;69,90;0,198;85,11;0,300;;;;;;;47,99;0,100;27,99;0,200;283,98;0,998;;88,97;0,300;45,90;0,100;37,98;0,200;;;;;77,81;0,600;48,99;0,100;;;299,65;1,300;;2 601,30;12,003;
;Сметана;;;;;;;239,80;1,200;;;376,71;2,000;;;192,00;1,000;;;228,90;1,200;1 037,41;5,400;;;;96,00;0,500;;;96,00;0,500;;;240,00;1,250;;;139,99;0,700;571,99;2,950;;;;84,99;0,450;;;84,90;0,450;;;144,00;0,750;;;125,88;0,600;439,77;2,250;;;;192,00;1,000;;;192,00;1,000;;;240,00;1,250;;;197,80;0,900;821,80;4,150;;;;216,00;1,000;;;252,84;1,200;;;378,00;1,750;;;156,50;0,700;1 003,34;4,650;;43,99;0,200;138,06;1,250;43,99;0,200;260,48;1,250;;;162,00;0,750;;;332,17;1,640;980,69;5,290;;33,90;0,200;216,00;1,000;;;248,02;1,250;;;216,00;1,000;;;191,80;0,900;905,72;4,350;;;;216,00;1,000;;;116,88;0,600;97,99;0,450;69,18;0,500;;;248,89;1,150;748,94;3,700;;;;223,00;1,000;;;115,00;0,500;;;83,50;0,500;;;277,00;1,250;698,50;3,250;;;;93,98;0,400;46,99;0,200;137,49;0,750;46,99;0,200;334,68;1,500;;;169,00;0,750;829,13;3,800;;;;269,88;1,250;;;173,00;0,750;;;268,89;1,150;;;188,00;0,750;899,77;3,900;;;;217,99;0,950;;;412,90;1,700;54,95;0,200;115,91;0,500;;;304,00;1,250;1 105,75;4,600;;;;246,00;1,000;;;246,00;1,000;130,00;0,500;116,00;0,500;;;304,00;1,250;1 042,00;4,250;;;;96,13;0,750;;;491,89;1,990;;;239,35;1,110;116,00;0,500;123,00;0,500;1 066,37;4,850;;;;123,00;0,500;;;239,00;1,000;;;145,00;0,610;;;142,47;0,750;649,47;2,860;;;;181,00;0,750;;;369,00;1,500;;;102,99;0,500;127,99;0,400;246,00;1,000;1 026,98;4,150;;;;181,00;0,750;;;251,22;1,000;48,99;0,200;181,00;0,750;;;255,00;1,000;917,21;3,700;;;;264,00;1,000;;;194,00;0,750;;;217,40;1,250;;;194,00;0,750;869,40;3,750;;15 614,24;71,850;
;Сыр (весовой) ;160,99;0,200;419,23;0,671;;;171,72;0,318;637,86;0,596;551,97;0,840;117,99;0,150;309,15;0,487;380,19;0,446;;;2 168,88;2,837;;283,98;0,400;;;152,99;0,200;;;362,97;0,450;1 008,24;0,896;;;119,99;0,150;1 928,17;2,096;;195,26;0,295;221,30;0,341;152,99;0,200;;;246,65;0,381;174,89;0,206;339,46;0,486;280,98;0,325;1 611,53;2,234;;152,99;0,200;119,48;0,225;263,98;0,400;598,09;0,571;119,90;0,200;139,10;0,262;486,85;0,744;169,07;0,290;2 049,46;2,892;;131,99;0,200;180,63;0,270;342,15;0,438;268,50;0,380;522,06;0,888;139,90;0,240;552,79;0,694;493,98;0,670;2 632,00;3,780;;321,89;0,500;138,62;0,279;312,69;0,458;;;249,98;0,325;192,48;0,200;158,99;0,200;;;1 374,65;1,962;;469,95;0,714;166,74;0,286;140,03;0,200;340,17;0,449;151,99;0,200;322,12;0,482;352,80;0,450;307,81;0,483;2 251,61;3,264;;413,80;0,485;131,76;0,226;150,88;0,200;221,89;0,375;169,99;0,200;82,16;0,220;184,99;0,200;336,91;0,385;1 692,38;2,291;;438,88;0,625;281,66;0,376;169,99;0,200;259,90;0,150;483,28;0,700;87,62;0,207;133,00;0,200;142,40;0,200;1 996,73;2,658;;169,99;0,200;169,60;0,286;444,60;0,504;1 454,68;1,207;;;184,90;0,200;279,98;0,325;;;2 703,75;2,722;;531,37;0,652;610,87;0,585;188,99;0,200;138,17;0,237;627,75;0,888;389,70;0,560;637,98;0,540;457,78;0,796;3 582,61;4,458;;102,93;0,125;179,90;0,200;332,13;0,400;393,44;0,164;114,00;0,125;144,49;0,241;451,97;0,500;;;1 718,86;1,755;;;;;;211,99;0,200;;;367,98;0,400;;;179,99;0,200;139,80;0,233;899,76;1,033;;407,98;0,400;46,69;0,251;;;439,80;0,390;274,54;0,356;;;360,98;0,325;129,90;0,200;1 659,89;1,922;;211,99;0,200;;;;;;;161,99;0,200;131,40;0,219;;;159,90;0,200;665,28;0,819;;169,90;0,200;143,99;0,120;189,90;0,240;239,90;0,150;433,90;0,565;;;456,98;0,350;374,31;0,488;2 008,88;2,113;;;;289,80;0,325;421,65;0,500;168,21;0,247;394,88;0,425;330,30;0,434;321,85;0,194;301,81;0,395;2 228,50;2,520;;;;531,00;0,661;;;177,79;0,263;;;963,18;1,013;;;171,23;0,228;1 843,20;2,165;;35 016,14;43,521;
;Сыр плавленный, фетакса, рикотта и др.;;;;;;;;;;;;;;;215,00;3;;;;;215,00;3,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;241,89;0,650;151,99;0,300;75,98;0,180;105,71;0,150;;;;;;;575,57;1,280;;;;;;329,80;0,500;;;;;;;;;;;329,80;0,500;;;;;;;;;;;;215,63;0,380;;;;;215,63;0,380;;;;;;101,13;0,150;;;;;;;;;270,90;0,350;372,03;0,500;;;;;;;;129,90;0,250;;;;;;;131,00;0,150;260,90;0,400;;;;145,90;0,200;;;109,49;0,150;;;;;;;;;255,39;0,350;;;;;;;;;;;;;;;;139,90;0,150;139,90;0,150;;;;134,90;0,150;;;;;;;145,00;0,250;135,99;0,150;;;415,89;0,550;;407,98;0,400;;;135,99;0,150;;;;;;;;;;;543,97;0,550;;135,99;0,150;;;;;99,90;0,150;99,90;0,150;196,97;0,330;;;296,89;0,300;829,65;1,080;;;;43,49;0,090;;;;;;;129,99;0,140;109,90;0,120;148,49;0,200;431,87;0,550;;269,70;0,360;418,16;0,500;;;;;;;;;;;;;687,86;0,860;;;;159,99;0,150;107,54;0,120;;;443,84;0,560;;;;;;;711,37;0,830;;;;109,00;0,200;;;;;;;97,99;0,150;;;;;206,99;0,350;;6 191,82;11,330;
;Творог;;;;;118,98;0,260;394,80;1,390;;;333,62;1,430;;;471,59;1,620;199,98;0,800;321,70;1,180;1 840,67;6,680;;;;352,40;1,180;59,99;0,130;266,97;1,050;;;384,99;1,380;;;242,99;0,830;1 307,34;4,570;;;;412,36;1,600;;;130,00;0,430;;;298,90;1,180;;;205,30;0,750;1 046,56;3,960;;;;250,00;0,930;59,32;0,130;233,00;1,000;;;310,00;1,230;;;367,77;1,340;1 220,09;4,630;;;;425,90;1,410;;;438,40;1,690;;;435,00;1,600;;;338,97;1,200;1 638,27;5,900;;;;323,19;1,610;;;349,98;1,400;;;369,97;1,180;;;222,96;0,820;1 266,10;5,010;;;;410,82;1,350;;;431,34;1,630;;;459,92;1,600;;;345,27;1,110;1 647,35;5,690;;;;433,00;1,530;;;209,80;0,800;;;387,92;1,350;;;424,97;1,430;1 455,69;5,110;;;;407,94;1,430;;;331,70;1,150;;;429,82;1,600;;;581,69;1,890;1 751,15;6,070;;;;307,96;1,000;;;410,52;1,500;;;498,75;1,580;;;414,90;1,430;1 632,13;5,510;;;;366,54;1,360;;;461,49;1,530;;;499,60;1,500;;;223,90;0,680;1 551,53;5,070;;;;422,77;1,400;;;341,60;1,150;79,48;0,360;306,41;0,950;;;424,80;1,330;1 575,06;5,190;;;;486,80;1,500;;;497,98;1,630;;;486,77;1,480;;;398,90;1,300;1 870,45;5,910;;;;311,27;1,330;;;381,80;1,300;;;256,62;0,830;108,00;0,400;396,00;1,100;1 453,69;4,960;;;;326,80;1,050;;;410,90;1,330;;;529,90;1,500;;;347,70;1,150;1 615,30;5,030;;;;674,98;1,980;;;798,00;2,360;;;427,50;1,230;171,98;0,600;358,00;1,000;2 430,46;7,170;;189,98;0,600;316,00;1,000;;;466,00;1,400;214,99;0,500;305,80;0,900;;;386,87;1,100;1 879,64;5,500;;;;474,00;1,400;133,90;0,400;399,00;1,100;;;441,36;1,430;;;532,00;1,500;1 980,26;5,830;;29 161,74;97,790;
Мясо и птица;Куриные ножки;;;;;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;139,48;0,754;;;139,48;0,754;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;198,13;0,948;;;;;;;;;198,13;0,948;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;136,72;0,760;;;;;;;;;;;;;136,72;0,760;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;70,33;0,406;;;;;;;;;;;;;70,33;0,406;Макс.;;;64,48;0,324;;;;;;;;;;;;;64,48;0,324;Макс.;;;;;;;;;;;156,10;0,822;;;456,36;2,497;612,46;3,319;Макс.;;;187,71;0,939;;;;;;;;;;;;;187,71;0,939;Макс.;;;;;;;;;175,86;0,818;;;;;;;175,86;0,818;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;290,17;1,484;;;;;290,17;1,484;Макс.;1 875,34;9,752;Макс.
;Говядина;;;;;;;;;;;;;600,23;0,984;;;;;288,38;0,578;888,61;1,562;Говядина;;;;;;;218,00;0,190;;;505,08;0,920;;;;;723,08;1,110;Грудки куриные;;;;;;;;;;;;;;;;;0,00;0,000;Индейка;;;;;;;;;;;374,40;0,682;;;;;374,40;0,682;Грудки куриные;;;;;;;;;;;;;;;;;0,00;0,000;Грудки куриные;;;;;;;;;;;;;291,27;0,558;;;291,27;0,558;Индейка;;;;;;;;;;;;;;;;;0,00;0,000;Тушка цыпленка;;;;;;;;;;;;;;;;;0,00;0,000;Индейка;;;340,74;0,568;;;261,48;0,524;;;175,32;0,550;;;;;777,54;1,642;Грудки куриные;;;284,85;0,518;;;329,08;0,554;;;;;;;;;613,93;1,072;Грудки куриные;;;373,68;0,720;;;482,39;0,804;;;;;;;;;856,07;1,524;Индейка;;;;;;;446,69;0,752;;;366,41;0,706;;;;;813,10;1,458;Свинина;;;;;;;;;;;;;;;;;0,00;0,000;Индейка;;;;;;;798,01;1,390;;;;;;;;;798,01;1,390;Грудки куриные;;;;;;;;;;;335,82;0,580;;;584,50;0,906;920,32;1,486;Индейка;;;;;;;510,53;0,740;;;;;;;;;510,53;0,740;Грудки куриные;;;;;;;186,49;0,346;;;;;;;;;186,49;0,346;Индейка;;;571,12;0,816;;;;;;;;;;;;;571,12;0,816;Грудки куриные;8 324,47;14,386;Индейка
;Грудки куриные;146,54;0,852;283,99;1;223,59;1,300;150,56;0,838;;;;;;;;;;;158,12;0,722;532,27;2,860;;300,81;1,749;158,44;0,698;;;;;;;319,95;1,455;;;;;779,20;3,902;;;;;;;;;;;;211,88;0,757;;;;;211,88;0,757;;;;;;128,13;0,648;;;270,46;1,478;;;232,39;1,270;;;630,98;3,396;;115,10;0,629;277,09;1,210;;;141,33;0,707;;;159,32;0,797;;;187,51;0,938;880,35;4,281;;;;;;;;190,28;1,002;;;;;270,51;0,902;397,94;1,877;858,73;3,781;;;;;;200,97;1,108;;;;;213,49;1,068;159,54;0,947;;;574,00;3,123;;;;283,58;1,455;;;;;;;123,54;0,618;349,84;1,666;;;756,96;3,739;;401,79;1,435;;;;;204,92;0,762;;;;;;;308,76;1,390;915,47;3,587;;;;;;329,99;1,320;203,40;0,600;;;212,25;0,756;455,33;1,758;;;1 200,97;4,434;;;;164,15;0,714;128,72;0,667;341,88;1,320;;;;;335,41;1,295;;;970,16;3,996;;;;;;216,46;1,101;;;;;221,81;0,932;;;284,39;1,237;722,66;3,270;;;;;;377,78;1,834;;;;;320,48;1,394;;;;;698,26;3,228;;;;;;160,47;0,779;297,75;0,737;;;475,40;1,942;;;291,12;1,124;1 224,74;4,582;;;;314,97;1,370;;;;;258,73;1,256;;;;;188,03;0,726;761,73;3,352;;439,98;1,760;321,64;1,186;;;189,42;0,758;;;;;;;557,94;2,056;1 508,98;5,760;;;;139,53;0,976;;;214,49;0,917;;;402,00;2,011;;;;;756,02;3,904;;;;236,47;1,011;;;258,60;1,192;;;322,99;1,077;;;241,43;1,006;1 059,49;4,286;;15 042,85;66,238;
;Индейка;;;;;;;;;;;239,00;0,500;;;;;;;;;239,00;0,500;;;;199,90;0,500;;;199,90;0,500;;;;;;;179,99;0,500;579,79;1,500;;;;;;;;279,90;0,600;;;;;;;;;279,90;0,600;;;;259,99;0,525;;;;;;;;;;;219,99;0,525;479,98;1,050;;;;;;199,90;0,500;248,50;0,500;;;;;361,79;1,210;;;810,19;2,210;;597,98;1,050;229,90;0,500;;;;;;;419,98;1,050;255,99;0,500;;;1 503,85;3,100;;;;;;;;;;;;169,90;0,500;;;419,80;0,800;589,70;1,300;;;;289,00;0,500;;;;;;;179,90;0,500;311,31;0,724;430,40;0,900;1 210,61;2,624;;;;169,90;0,500;;;;;322,14;0,800;;;176,63;0,500;239,99;0,600;908,66;2,400;;;;269,90;0,500;;;;;;;199,90;0,400;;;249,90;0,500;719,70;1,400;;219,00;0,500;539,80;1,000;;;189,90;0,500;;;869,60;1,700;;;;;1 818,30;3,700;;;;;;;;419,80;0,800;;;229,90;0,500;;;209,90;0,500;859,60;1,800;;;;179,90;0,400;;;;;;;359,80;0,800;;;219,90;0,400;759,60;1,600;;;;519,80;1,000;;;209,90;0,500;;;274,99;0,525;;;;;1 004,69;2,025;;;;359,95;1,303;;;309,99;0,525;;;259,90;0,500;;;259,90;0,500;1 189,74;2,828;;;;90,75;0,454;;;595,20;1,100;;;;;;;668,90;1,000;1 354,85;2,554;;358,99;0,600;;;;;584,00;1,000;;;249,90;0,500;359,99;0,600;;;1 552,88;2,700;;;;;;;;;;;;239,90;0,500;523,63;1,480;;;763,53;1,980;;16 624,57;35,871;
;Крылья куриные;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;115,65;0,732;;;;;;;115,65;0,732;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;190,10;0,951;;;;;;;;;;;;;;;190,10;0,951;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;70,45;0,354;;;;;;;;;;;;;70,45;0,354;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;164,81;0,872;;;164,81;0,872;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;214,78;0,955;;;;;214,78;0,955;;755,79;3,864;
;Печень куриная;115,20;0,854;;;;;;;;;;;;;158,59;0,805;;;;;158,59;0,805;;;;;;120,88;0,683;;;;;;;;;;;120,88;0,683;;143,99;0,500;;;;;;;;;;;;;;;143,99;0,500;;;;94,99;0,500;;;;;;;;;;;;;94,99;0,500;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;144,25;0,815;;;;;;;;;162,67;0,775;306,92;1,590;;;;;;;;188,10;0,900;;;;;;;177,79;0,847;365,89;1,747;;;;137,31;0,697;;;;;;;;;;;;;137,31;0,697;;;;114,90;0,500;;;;;;;163,90;0,832;;;;;278,80;1,332;;;;;;;;;;;;94,99;0,500;;;;;94,99;0,500;;;;;;;;;;;;166,72;0,834;;;;;166,72;0,834;;;;169,72;0,849;;;;;;;;;168,72;0,844;;;338,44;1,693;;;;;;;;155,32;0,777;;;;;164,12;0,821;;;319,44;1,598;;;;;;;;;;;;;;;;163,52;0,818;163,52;0,818;;;;;;184,03;0,856;;;;;;;;;153,83;0,826;337,86;1,682;;;;;;;;;;;;181,64;0,826;;;;;181,64;0,826;;;;172,62;0,785;;;;;;;;;;;195,05;0,887;367,67;1,672;;;;;;;;;;165,99;0,550;;;;;;;165,99;0,550;;3 743,64;18,027;
;Печень говяжья;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;129,66;0,482;129,66;0,482;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;179,14;0,560;;;;;;;;;179,14;0,560;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;308,80;1,042;
;Свинина;;;;;;;296,34;0,988;;;;;;;;;;;;;296,34;0,988;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;291,50;0,664;;;;;250,23;0,570;;;541,73;1,234;;;;;;;;;;;;265,12;0,602;;;;;265,12;0,602;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;240,80;0,602;;;771,88;2,498;;;;;1 012,68;3,100;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;305,30;1,018;305,30;1,018;;;;;;;;332,93;0,846;;;;;;;;;332,93;0,846;;;;;;;;;;;;;;;;;;0,00;0,000;;2 754,10;7,788;
